id,name,parent_id
bakery,Bakery,
beverage,Beverage,
beverage-alcoholic,Beverage-alcoholic,
beverage-caffeinated,Beverage-caffeinated,
cerealcrop-cereal,Cerealcrop-cereal,
cerealcrop-maize,Cerealcrop-maize,
dairy,Dairy,
essentialoil,Essentialoil,
fruit-berry,Fruit-berry,
fishseafood-seafood,Fishseafood-seafood,
fishseafood-fish,Fishseafood-fish,
plant,Plant,
fruit,Fruit,
fruit-citrus,Fruit-citrus,
fruit-essence,Fruit-essence,
fungus,Fungus,
herb,Herb,
protein,Protein,
dish,Dish,
nutseed-nut,Nutseed-nut,
nutseed-seed,Nutseed-seed,
nutseed-legume,Nutseed-legume,
plantderivative,Plantderivative,
spice,Spice,
vegetable,Vegetable,
vegetable-cabbage,Vegetable-cabbage,
vegetable-root,Vegetable-root,
vegetable-fruit,Vegetable-fruit,
vegetable-gourd,Vegetable-gourd,
vegetable-stem,Vegetable-stem,
vegetable-tuber,Vegetable-tuber,
seed,Seed,
additive,Additive,
grain,Grain,
